case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?"
TNL-02440-18-RV,12/25/2020 8:09:32,Egya Sangmuah,Not stated,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,5,0,0,0
 TNL-02453-18,12/25/2020 8:17:46,Sylvia Watson,Toronto,No,Yes,Yes,Yes,No,No,No relief,10,1595.9445741324917,2150.00,0,5240.342916006339,7,0,0,1
TNL-02875-18,12/25/2020 8:30:46,Louise Horton,Newmarket,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,3300.00,0,5240.342916006339,6,0,0,0
 TNL-03085-18,12/25/2020 8:34:44,Sylvia Watson,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1221.60,0,5240.342916006339,4,0,0,0
TEL-02811-19-RV,12/25/2020 12:16:43,Sonia Anwar-Ali,Whitby,No,Yes,No,Yes,No,No,Rent Abatement,6.306049004594181,1650.00,1650.00,0,6981.09,6,0,0,0
TEL-03413-19,12/25/2020 12:27:41,Sonia Anwar-Ali,Belleville,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
CET-74655-18,12/25/2020 12:41:05,David Mungovan,Mississauga,Yes,No,Yes,No,No,No,Postponement of eviction,29,2500.00,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TEL-03502-19,12/25/2020 12:41:29,Sonia Anwar-Ali,Peterborough,Yes,Yes,No,No,No,No,No relief,8,1200.00,1200.00,0,2575.00,2,0,0,0
EAL-71135-18,12/25/2020 12:58:16,Margaret Reynolds,by telephone,No,Yes,No,Yes,No,No,No relief,42,1500.00,1500.00,0,5320,4,0,0,0
TEL-03588-19,12/25/2020 13:02:40,Ruth Carey,Whitby,No,Yes,No,Yes,No,No,Postponement of eviction,17,1900.00,1900.00,0,16200.00,9,1,0,1
EAL-73036-18,12/25/2020 13:08:30,Emily Crocco,Ottawa,Yes,No,No,Yes,No,Yes,Postponement of eviction,42,134.00,1365.9816966067863,0,347.30,22,1,0,0
EAL-73495-18,12/25/2020 14:54:12,Jim McMaster,Belleville,No,Yes,No,Yes,No,No,No relief,18,1595.9445741324917,975.00,0,3075.25,6,1,0,0
EAL-76016-18,12/25/2020 15:23:35,Émilie Moniz,Ottawa,Yes,No,No,No,No,No,No relief,6.306049004594181,1170.00,1365.9816966067863,0,2569.20,3,1,0,0
HOL-02048-17,12/25/2020 15:37:44,Roger Rodrigues,Toronto,Yes,No,No,Yes,No,No,Payment plan,29,2000.00,1365.9816966067863,1,520.00,13,0,0,0
HOL-02106-17,12/25/2020 15:45:37,Cristina De Leon-Culp,Hamilton,No,Yes,No,Yes,No,No,No relief,6.306049004594181,2000.00,2000.00,0,4091.97,3,0,1,0
TNL-03242-18,12/25/2020 16:37:55,Nancy Morris,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,36,1595.9445741324917,1192.27,0,5240.342916006339,3,0,0,0
TNL-03260-18,12/26/2020 10:50:20,Nancy Morris,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,750.00,1365.9816966067863,0,5240.342916006339,3,0,0,0
TNL-03299-18  TNT-00589-17      ,12/26/2020 10:58:38,Harry Cho,Toronto,Yes,No,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1733.60,0,5240.342916006339,6.306049004594181,1,0,0
 TNL-03769-18,12/26/2020 11:02:39,Nancy Morris,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1060.16,0,5240.342916006339,6,0,0,0
 TNL-03797-18,12/26/2020 11:07:37,Louise Horton,Newmarket,Yes,No,No,No,No,No,No relief,6.306049004594181,1752.99,1662.00,0,5240.342916006339,6.306049004594181,1,0,0
TNL-03797-18-RV,12/26/2020 11:13:23,Egya Sangmuah,Toronto,Yes,No,Yes,No,No,No,Voiding of order,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TNL-03847-18,12/26/2020 11:18:28,Harry Cho,Newmarket,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,500.00,0,5240.342916006339,6,0,0,0
 TNL-03911-18,12/26/2020 11:23:41,Louise Horton,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1096.22,0,5240.342916006339,5,1,0,0
 TNL-04214-18,12/26/2020 11:27:48,Louise Horton,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,2300.00,0,5240.342916006339,5,0,0,0
 TNL-04261-18,12/26/2020 11:34:14,Sylvia Watson,Newmarket,No,Yes,Yes,Yes,No,No,No relief,26,2350.00,2350.00,0,11750.00,6,0,0,0
TNL-04296-18,12/26/2020 12:58:58,Neil Kaufman,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1377.06,0,5240.342916006339,4,0,0,0
TNL-04389-18-BIR,12/26/2020 13:05:07,Sylvia Watson,Toronto,Yes,No,Yes,No,No,No,Payment plan,240,1595.9445741324917,1365.9816966067863,0,5240.342916006339,6.306049004594181,0,0,0
TNL-04435-18  TNL-03907-18,12/26/2020 13:09:47,Neil Kaufman,Newmarket,No,Yes,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1200.00,0,5240.342916006339,5,0,0,0
TEL-89823-18,1/14/2021 15:30:19,Elana Rose,Whitby,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,7200.00,4,0,0,0
TEL-89848-18,1/14/2021 15:37:43,Avril Cardoso,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1497.80,0,8955.67,6,0,1,0
TEL-03678-19,12/26/2020 21:47:01,Shelby Whittick,Toronto,Yes,Yes,No,Yes,No,No,No relief,72,1658.61,1658.61,0,13475.86,10,0,1,1
TEL-03752-19,12/26/2020 21:55:47,Sonia Anwar-Ali,Peterborough,Yes,Yes,No,No,No,No,No relief,6.306049004594181,663.33,600.00,0,1990.00,3,0,0,0
TEL-04297-19,12/26/2020 22:05:48,Shelby Whittick,Lindsay,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,980.00,0,6070.00,6,0,0,0
TEL-04353-19,12/26/2020 22:16:19,Shelby Whittick,Peterborough,No,Yes,No,Yes,No,No,No relief,30,900,1365.9816966067863,0,3600.00,4,0,0,0
TEL-04558-19,12/26/2020 22:28:44,Sonia Anwar-Ali,Toronto,No,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1050.00,0,5500.00,6,0,0,0
TEL-04599-19,12/26/2020 22:45:26,Shelby Whittick,Whitby,No,Yes,No,Yes,No,No,Probation,6.306049004594181,825.00,1365.9816966067863,0,3100.00,4,0,0,0
HOL-02119-17,12/27/2020 14:30:06,Jean-Paul Pilon,Toronto,Yes,Yes,No,Yes,No,No,No relief,8,2000.00,2000.00,0,3000.00,4,1,0,1
TEL-04649-19,12/27/2020 16:04:56,Tamara Irwin,Toronto,Yes,Yes,No,Yes,No,No,No relief,7,500.00,500.00,0,3000.00,6,0,0,0
TSL-89175-17,12/27/2020 16:09:15,Roger Rodrigues,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,24,2100.00,2100.00,0,8164.11,7,1,1,0
TEL-05033-19,12/27/2020 16:11:31,Sonia Anwar-Ali,Peterborough,Yes,Yes,No,Yes,No,No,No relief,58,1300.00,1300.00,0,14735.00,10,0,0,0
TEL-05071-19,12/27/2020 16:21:43,Sonia Anwar-Ali,Toronto,Yes,Yes,No,Yes,No,No,Relief from eviction subject to conditions,6.306049004594181,1142.91,1365.9816966067863,0,0.00,0,0,0,0
TSL-89758-17,12/27/2020 16:23:47,Renee Lang,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1577.00,1577.00,0,1348.01,1,0,0,0
TEL-05202-19,12/27/2020 16:32:06,Sonia Anwar-Ali,Whitby,Yes,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067863,0,2237.85,4,1,0,0
TSL-89992-17-RV,12/27/2020 16:32:10,Laura Hartslief,Whitby,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,2450.00,0,4900.00,3,1,0,0
TSL-90310-17,12/27/2020 16:40:53,"Roger Rodrigues, David Lee",Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,950.00,0,5050.00,4,1,0,0
TEL-05412-19,12/27/2020 16:41:13,Laura Hartslief,Whitby,Yes,No,No,No,No,No,No relief,28,1445.29,1445.29,0,12623.74,9,1,0,0
TEL-05656-19,12/27/2020 16:50:04,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1800.00,1365.9816966067863,0,1778.79,1,0,0,0
TSL-90379-17,12/27/2020 16:50:43,Roderick Flynn,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,900.00,0,4800.00,7,1,0,0
TSL-90695-17,12/27/2020 16:57:01,Jean-Paul Pilon,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,995.00,0,588.82,1,1,0,0
TSL-90710-17-RV,12/27/2020 17:04:23,Renee Lang,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,869.41,0,4291.90,14,1,0,0
TEL-05698-19,12/27/2020 17:16:08,Sonia Anwar-Ali,Whitby,Yes,Yes,No,Yes,No,No,Postponement of eviction,60,1595.9445741324917,876.85,0,4817.72,12,1,1,1
TSL-90715-17,12/27/2020 17:18:32,Roger Rodrigues,Toronto,Yes,No,Yes,No,No,No,No relief,96,1438.58,1275.00,1,55.02,18,1,0,0
TSL-90716-17,12/27/2020 17:29:56,David Lee,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,12,1260.00,1200.00,0,2129.92,1,1,0,0
TSL-90721-17,12/27/2020 17:49:27,Roger Rodrigues,Toronto,Yes,No,No,Yes,No,No,Payment plan,6.306049004594181,1243.58,1365.9816966067863,1,329.16,26,0,0,1
TEL-05728-19,12/27/2020 17:55:37,Shelby Whittick,Whitby,Yes,No,No,No,No,No,No relief,6.306049004594181,1525.00,1525.00,0,7625.00,5,1,0,0
TSL-90833-17,12/27/2020 18:03:05,Roger Rodrigues,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1993.51,0,842.91,1,1,0,0
CEL-64707-17-RV,1/6/2021 12:25:18,Karen Wallace,Mississauga,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,700.00,700.00,0,2800.00,5,1,0,0
CEL-64717-17,12/27/2020 20:13:45,Avril Cardoso,Mississauga,Yes,Yes,No,Yes,No,No,Eviction refused; Tenant pays arrears only,6.306049004594181,1595.9445741324917,1142.40,0,2331.42,7,0,0,0
CEL-64754-17,12/27/2020 20:28:36,Ruth Carey,Burlington,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,790.00,0,2370.00,3,0,0,0
CEL-65374-17,12/27/2020 20:47:21,Tiisetso Russell,Mississauga,Yes,Yes,Yes,No,No,Yes,Extended termination date,6.306049004594181,1329.00,92.87,0,10632.00,8,1,0,0
CEL-65563-17,12/27/2020 20:56:56,Avril Cardoso,Bracebridge,Yes,Yes,Yes,Yes,No,No,Tenants already vacated rental unit. Tenants pay full amount owed.,6.306049004594181,1200.00,1200.00,0,7200.00,6,1,0,0
CEL-65659-17-RV,12/27/2020 21:12:15,Karen Wallace,Mississauga,Yes,Yes,Yes,Yes,No,No,Postponement of eviction,10,775.00,850.00,0,2325.00,3,1,0,0
CEL-65920-17,12/27/2020 21:32:01,Lisa Del Vecchio,Mississauga,Yes,Yes,Yes,Yes,No,No,No relief,6.306049004594181,2500.00,1365.9816966067863,1,25075.00,10,1,0,0
CEL-65976-17,12/27/2020 22:13:36,Alex Brkic,Barrie,No,Yes,No,Yes,No,Yes,Postponement of eviction,6.306049004594181,1595.9445741324917,550.00,0,2550.00,5,0,1,0
HOL-02144-17/HOT-02146-17,12/28/2020 0:45:14,Ruth Carey,Toronto,Yes,Yes,Yes,No,No,No,payment of damages (not a rent dispute),22,1595.9445741324917,1365.9816966067863,0,0.00,6.306049004594181,0,0,0
HOL-02330-18,12/28/2020 1:00:10,Sean Henry,Toronto,No,Yes,No,No,No,No,No relief,10,1595.9445741324917,2000.00,0,5240.342916006339,0,0,0,0
HOL-02330-18,12/28/2020 1:00:28,Sean Henry,Toronto,No,Yes,No,No,No,No,No relief,10,1595.9445741324917,2000.00,0,5240.342916006339,3,0,0,0
TSL-91302-17,12/28/2020 10:42:45,Roger Rodrigues,Toronto,Yes,No,No,Yes,No,No,Payment plan,97,1204.87,1365.9816966067863,0,2409.74,3,1,1,0
TSL-91339-17,12/28/2020 10:49:48,Roger Rodrigues,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1650.00,0,4828.25,3,0,0,0
TSL-91342-17,12/28/2020 10:57:47,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1064.44,950.00,0,10272.73,38,1,0,0
TSL-91499-17,12/28/2020 11:04:27,Renee Lang,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1160.36,1365.9816966067863,0,5730.00,9,1,0,0
TSL-91513-17,12/28/2020 11:16:56,David Mungovan,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1250.00,0,1376.30,19,1,0,0
TSL-91920-18,12/28/2020 11:27:20,David Lee,Toronto,Yes,Yes,No,Yes,No,No,No relief,7,906.78,1365.9816966067863,0,3396.51,10,1,1,0
TSL-92180-18,12/28/2020 11:36:02,David Lee,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1500.00,0,3077.00,3,0,0,0
TSL-92565-18,12/28/2020 11:46:22,David Lee,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,863.99,0,2698.00,4,0,0,0
TSL-92649-18,12/28/2020 11:55:17,Roderick Flynn,Toronto,Yes,No,No,No,No,No,No relief,180,1595.9445741324917,1525.60,0,5878.25,5,0,1,0
TSL-92675-18-RV,12/28/2020 12:01:31,Nancy Henderson,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1600.00,0,8000.00,15,0,0,0
TSL-93152-18,12/28/2020 12:09:02,Roger Rodrigues,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,2300.00,2300.00,0,6200.00,4,0,0,0
TSL-93197-18,12/28/2020 12:15:45,Renee Lang,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1050.00,1050.00,0,3400.00,8,1,1,0
TSL-93410-18,12/28/2020 12:21:45,Renee Lang,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1127.19,1126.51,0,1127.19,4,1,0,0
CEL-66033-17,1/6/2021 12:27:22,Solange Losier,Mississauga,Yes,Yes,Yes,Yes,No,No,Postponement of eviction,6.306049004594181,1850.00,1850.00,0,4111.40,4,0,0,0
TSL-93456-18-SA,12/28/2020 17:14:51,Roger Rodrigues,Toronto,Yes,No,Yes,Yes,No,No,Eviction order set aside,36,1317.41,1365.9816966067863,0,2393.89,3,1,1,0
CEL-66306-17,1/6/2021 12:28:16,Tiisetso Russell,Mississauga,Yes,Yes,No,Yes,No,No,No relief,60,1595.9445741324917,1365.9816966067863,0,4235.00,5,1,0,0
CEL-66488-17,12/28/2020 13:46:44,Avril Cardoso,Mississauga,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,940.44,0,5240.342916006339,10,0,0,0
CEL-66822-17,12/28/2020 13:54:30,Lynn Mitchell,Mississauga,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1324.96,0,1738.66,4,1,0,0
CEL-66886-17,12/28/2020 14:00:52,Lynn Mitchell,Mississauga,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,800.00,0,4800.00,6,0,0,0
CEL-67101-17,12/28/2020 14:09:39,Harry Cho,Barrie,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,1700.00,3,0,0,0
CEL-67109-17,1/6/2021 12:32:26,Alex Brkic,Mississauga,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5600.00,7,0,0,0
CEL-67620-17,12/28/2020 14:44:06,Alex Brkic,Mississauga,Yes,No,No,No,No,No,No relief,7,1595.9445741324917,800.00,0,3200.00,4,0,0,0
CEL-68020-17,12/28/2020 14:52:30,Alex Brkic,Mississauga,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1850.00,0,3950.00,5,0,0,0
TEL-89910-18,1/14/2021 15:40:34,Jim McMaster,Belleville ,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,920.00,0,1920.00,3,1,0,0
CEL-68634-17,1/6/2021 12:33:47,Avril Cardoso,Mississauga,Yes,No,Yes,No,No,No,Postponement of eviction,72,1595.9445741324917,1555.00,0,1714.95,3,1,0,0
TEL-89912-18,1/14/2021 15:45:35,Jim McMaster,Peterborough ,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1700.00,0,2715.98,2.5,1,0,0
TEL-89993-18,1/14/2021 15:48:19,Elana Rose,Toronto,No,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1249.72,0,1229.82,3,1,0,0
CEL-68793-17-RV,12/28/2020 15:22:38,Karen Wallace,Barrie,Yes,No,Yes,No,No,No,Postponement of eviction,6.306049004594181,1036.41,976.19,0,4610.04,5,1,0,0
TEL-90055-18,1/14/2021 15:54:30,Elana Rose,Toronto,No,Yes,Yes,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,11100.00,6,0,1,0
CEL-69024-17,1/6/2021 12:34:52,Tiisetso Russell,Mississauga,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1544.83,0,6179.32,4,1,0,0
TEL-90112-18,1/14/2021 15:57:09,Elana Rose,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,980.00,0,1562.45,6,1,0,0
CEL-69750-17,12/28/2020 15:39:43,Lisa Del Vecchio,Mississauga,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5700.00,3,0,0,0
TEL-90120-18,1/14/2021 15:59:33,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1400.00,0,5790.00,4,0,0,0
CEL-69848-17,1/6/2021 12:36:15,Avril Cardoso,Mississauga,Yes,No,Yes,No,No,Yes,Postponement of eviction,96,1250.66,1250.66,0,2822.64,4,1,1,0
TEL-90179-18,1/14/2021 16:07:59,Shelby Whittick,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1700.00,0,6800.00,5,1,0,0
TEL-90188-18,1/14/2021 16:16:55,Laura Hartslief,Peterborough ,Yes,No,No,Yes,No,No,No relief,60,1595.9445741324917,900.00,0,2900.00,5,0,0,0
TEL-75185-16,1/31/2021 21:33:18,Shelby Whittick,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1024.13,0,3070.36,12,1,1,1
TEL-90294-18,1/14/2021 16:25:40,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1143.42,0,3406.58,3,0,0,0
TEL-90345-18,1/14/2021 17:18:41,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,8.5,1595.9445741324917,2100.00,0,8400.00,5,0,0,1
TEL-75630-16,1/31/2021 21:33:44,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1062.35,935.00,0,4456.63,8,1,1,0
TEL-75637-16,12/28/2020 17:14:10,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,879.00,0,2668.73,4,1,0,0
TSL-93802-18,12/28/2020 17:14:38,Roderick Flynn,Toronto,Yes,No,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,1795.65,3,1,0,0
TSL-93873-18,12/28/2020 17:25:45,Roderick Flynn,Toronto,Yes,No,Yes,No,No,No,Pay on time order,6.306049004594181,1595.9445741324917,1168.08,0,3863.91,4,1,1,0
TSL-93963-18,12/28/2020 17:37:56,Nancy Henderson,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,2300.00,1365.9816966067863,0,4600.00,4,0,0,0
TSL-94018-18,12/28/2020 17:47:59,David Lee,Toronto,Yes,Yes,No,Yes,No,No,No relief,12,1700.00,1365.9816966067863,0,18985.54,12,0,1,0
TSL-94190-18,12/28/2020 17:57:32,David Lee,Toronto,No,Yes,No,Yes,No,No,No relief,70,750.00,700.00,0,2250.00,3,0,0,0
TEL-90354-18,1/14/2021 17:24:59,Laura Hartslief,Toronto,Yes,Yes,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1265.75,0,1791.80,17,1,0,0
TSL-94248-18-RV,12/28/2020 18:08:53,Nancy Henderson,Toronto,Yes,No,No,No,No,No,No relief,5,1650.00,5,0,9602.17,5,1,0,0
TEL-90371-18   ,1/14/2021 17:28:09,Ruth Carey,Belleville ,No,Yes,No,Yes,No,No,No relief,7.5,1595.9445741324917,800.00,0,4800.00,6,0,0,0
TEL-90395-18,1/14/2021 17:31:26,Laura Hartslief,Toronto,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1048.76,0,2097.52,3,1,0,0
CET-65284-17,12/29/2020 13:18:04,Avril Cardoso,Mississauga,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1400.00,0,3306.33,2.5,0,0,0
TEL-90399-18,1/14/2021 17:43:33,Laura Hartslief,Toronto,No,Yes,No,Yes,No,No,No relief,11,1595.9445741324917,850.00,0,3000.00,4,0,0,0
TEL-90414-18,1/14/2021 17:46:18,Ruth Carey,Toronto,Yes,Yes,No,Yes,No,No,No relief,48,1320.45,1320.45,0,2638.47,3,1,1,0
TEL-90458-18,1/14/2021 17:49:37,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,36,1595.9445741324917,1223.73,0,3651.62,3,0,0,0
TEL-90508-18,1/14/2021 17:52:20,Laura Hartslief,Toronto,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1633.00,0,6441.00,29,1,0,0
TEL-90634-18   ,1/14/2021 18:01:25,Shelby Whittick,Toronto,Yes,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1595.9445741324917,1100.00,0,4190.00,5,0,0,0
HOL-02425-18-RV,12/29/2020 12:04:09,Karen Wallace,Mississauga,Yes,Yes,No,Yes,No,No,No relief,48,2000.00,2000.00,0,12743.87,9,1,1,0
HOL-02425-18-RV,12/29/2020 12:04:31,Karen Wallace,Mississauga,Yes,Yes,No,Yes,No,No,No relief,48,2000.00,2000.00,0,12743.87,9,1,1,0
HOL-02487-18,12/29/2020 12:31:14,Tiisetso Russell,Mississauga,Yes,Yes,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,1365.9816966067863,0,5067.24,3,1,0,1
EAL-60748-16,1/6/2021 12:39:28,Philippe Rabot,Ottawa,Yes,No,No,Yes,No,No,No relief,6,830.00,1365.9816966067863,0,4150.00,5,0,0,0
HOL-02522-18,12/29/2020 12:46:19,Sylvia Watson,Toronto,Yes,Yes,Yes,Yes,No,No,No relief,40,4420.00,1365.9816966067863,0,25000.00,11,0,0,1
EAL-61057-16,12/29/2020 12:46:57,John Nolan,Ottawa,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1430.00,1382.00,0,4290.00,4,1,0,0
EAL-61782-16,12/29/2020 13:27:44,Philippe Rabot,Kingston,Yes,No,No,No,No,No,No relief,16,1377.00,1350.00,0,1708.60,4,1,0,0
EAL-62115-16,1/11/2021 12:31:18,John Nolan,Ottawa,Yes,No,No,No,No,No,No relief,6.306049004594181,1252.49,1199.00,0,3757.47,3,0,0,0
HOL-02639-18-RV,12/29/2020 13:14:07,Nancy Henderson,Toronto,Yes,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,3600.00,3600.00,0,6795.62,2,1,0,1
EAL-62437-17,12/29/2020 13:38:52,Shelby Whittick,Belleville,Yes,Yes,No,Yes,No,No,Payment plan,6.306049004594181,1300.00,1150.00,0,1520.00,7,0,0,0
HOL-02707-18,12/29/2020 13:39:10,Michael Soo,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3330.55,2,0,0,1
HOL-02707-18,12/29/2020 13:39:23,Michael Soo,Toronto,No,Yes,No,Yes,No,No,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,0,3330.55,2,0,0,1
TEL-06652-19,12/29/2020 13:40:53,Shelby Whittick,Belleville,No,No,Yes,Yes,No,No,Payment plan,6.306049004594181,789.94,1365.9816966067863,0,5000.46,7,0,1,0
EAL-65781-17,1/6/2021 12:42:31,Laura Hartslief,Belleville,Yes,No,Yes,Yes,No,No,Postponement of eviction,120,1595.9445741324917,1365.9816966067863,0,4940.00,9,0,0,0
EAL-65864-17,1/6/2021 12:43:58,Thomas F. Fagan,Kingston,No,Yes,No,Yes,No,No,No relief,42,1330.96,1310.00,0,11731.04,12,1,0,0
TEL-06535-19,12/29/2020 14:08:06,Shelby Whittick,Toronto,Yes,No,No,Yes,No,Yes,Postponement of eviction,6.306049004594181,1595.9445741324917,1365.9816966067863,1,12917.51,48,1,0,0
EAL-68762-17,12/29/2020 14:11:52,Ruth Carey,Ottawa,Yes,No,No,No,No,No,Conditional relief,6.306049004594181,1595.9445741324917,845.00,0,3480.00,5,0,0,0
EAL-68763-17,12/29/2020 14:18:11,Ruth Carey,Ottawa,Yes,No,No,No,No,No,No relief,6.306049004594181,1595.9445741324917,850.00,0,2900.00,4,1,0,0
EAL-68765-17,12/29/2020 14:25:17,Ruth Carey,Ottawa,Yes,No,No,No,No,No,Conditional relief,6.306049004594181,1595.9445741324917,915.00,0,3520.00,4,0,0,0
TEL-06544-19,12/29/2020 14:29:51,Sonia Anwar-Ali,Belleville,No,Yes,No,Yes,No,No,Postponement of eviction,12,850.00,850.00,0,3525.00,12,1,0,0
EAL-68814-17,12/29/2020 14:31:32,Ruth Carey,Ottawa,Yes,No,No,No,No,No,Conditional relief,6.306049004594181,1595.9445741324917,1046.00,0,4225.22,5,1,0,0
HOL-01143-17,12/29/2020 14:41:04,Laura Hartslief,Toronto,Yes,No,No,Yes,No,No,No relief,6.306049004594181,1595.9445741324917,1975.00,0,11850.00,6,0,0,0
